N,i,time
50000,181,0.00935867
50000,186,0.00929367
50000,191,0.00924067
50000,196,0.0114307
50000,201,0.0111157
50000,206,0.0112947
50000,211,0.0115133
50000,216,0.013402
50000,221,0.0108113
50000,226,0.0108947
50000,231,0.0106767
50000,236,0.010637
50000,241,0.0108297
50000,246,0.0115443
50000,251,0.011707
50000,256,0.011259
50000,261,0.0111347
50000,266,0.011082
50000,271,0.0107493
50000,276,0.0110247
50000,281,0.0107093
50000,286,0.0108717
50000,291,0.011077
50000,296,0.0112647
50000,301,0.0108657
50000,306,0.0111433
50000,311,0.0117497
50000,316,0.01601
50000,321,0.0109673
50000,326,0.010771
50000,331,0.0106043
50000,336,0.0107693
50000,341,0.0108837
50000,346,0.0112057
50000,351,0.0111657
50000,356,0.011386
50000,361,0.0109897
50000,366,0.011001
50000,371,0.011109
50000,376,0.0111047
50000,381,0.0109743
50000,386,0.011078
50000,391,0.01519
50000,396,0.015298
50000,401,0.016388
50000,406,0.0157573
50000,411,0.016112
50000,416,0.015681
50000,421,0.0155357
50000,426,0.0153463
50000,431,0.0154653
50000,436,0.01536
50000,441,0.0153363
50000,446,0.015707
50000,451,0.0154483
50000,456,0.0159657
50000,461,0.0148503
50000,466,0.0153927
50000,471,0.0154457
50000,476,0.015464
50000,481,0.0150797
50000,486,0.01495
50000,491,0.0152313
50000,496,0.015541
50000,501,0.0154707
50000,567,0.015702
50000,633,0.0154073
50000,699,0.01554
50000,765,0.0157547
50000,831,0.0254393
50000,897,0.025072
50000,963,0.0258163
50000,1029,0.0251503
50000,1095,0.0259727
50000,1161,0.0247433
50000,1227,0.0250143
50000,1293,0.0263153
50000,1359,0.025187
50000,1425,0.0250203
50000,1491,0.0254743
50000,1557,0.02582
50000,1623,0.0482853
50000,1689,0.0477293
50000,1755,0.0478287
50000,1821,0.0470207
50000,1887,0.0476587
50000,1953,0.0471763
50000,2019,0.0477807
50000,2085,0.0472993
50000,2151,0.048059
50000,2217,0.04729
50000,2283,0.04779
50000,2349,0.0476193
50000,2415,0.0473457
50000,2481,0.0474967
50000,2547,0.0480187
50000,2613,0.048964
50000,2679,0.0479883
50000,2745,0.048666
50000,2811,0.047901
50000,2877,0.048555
50000,2943,0.0478303
50000,3009,0.048202
50000,3075,0.0482277
50000,3141,0.0963073
50000,3207,0.0917183
50000,3273,0.0909513
50000,3339,0.0915377
50000,3405,0.0931033
50000,3471,0.091637
50000,3537,0.0908583
50000,3603,0.094
50000,3669,0.093445
50000,3735,0.0973077
50000,3801,0.091965
50000,3867,0.091739
50000,3933,0.0913157
50000,3999,0.0924757
50000,4065,0.0926157
50000,4131,0.094207
50000,4197,0.0944507
50000,4263,0.091617
50000,4329,0.0928707
50000,4395,0.0921813
50000,4461,0.0909803
50000,4527,0.090725
50000,4593,0.090563
50000,4659,0.0908347
50000,4725,0.091528
50000,4791,0.090661
50000,4857,0.091057
50000,4923,0.0915897
50000,4989,0.0908113
50000,5055,0.0909017
50000,5121,0.0906217
50000,5187,0.091368
50000,5253,0.0909627
50000,5319,0.0907263
50000,5385,0.0906393
50000,5451,0.0900617
50000,5517,0.092362
50000,5583,0.0914013
50000,5649,0.0908877
50000,5715,0.0888593
50000,5781,0.0903203
50000,5847,0.0901167
50000,5913,0.0892857
50000,5979,0.0887773
50000,6045,0.0907797
50000,6111,0.0889203
50000,6177,0.0897957
50000,6243,0.0901257
50000,6309,0.177925
50000,6375,0.177585
50000,6441,0.177989
50000,6507,0.17799
50000,6573,0.177442
50000,6639,0.178559
50000,6705,0.177787
50000,6771,0.179019
50000,6837,0.177875
50000,6903,0.180296
50000,6969,0.178747
50000,7035,0.178262
50000,7101,0.178357
50000,7167,0.178426
50000,7233,0.176903
50000,7299,0.175881
50000,7365,0.178098
50000,7431,0.178991
50000,7497,0.177655
50000,7563,0.175885
50000,7629,0.17707
50000,7695,0.178033
50000,7761,0.179574
50000,7827,0.178945
50000,7893,0.176646
50000,7959,0.178396
50000,8025,0.178149
50000,8091,0.178018
50000,8157,0.177548
50000,8223,0.176387
50000,8289,0.177418
50000,8355,0.177973
50000,8421,0.178235
50000,8487,0.178068
50000,8553,0.176611
50000,8619,0.178557
50000,8685,0.174461
50000,8751,0.173809
50000,8817,0.176473
50000,8883,0.174291
50000,8949,0.177673
50000,9015,0.176544
50000,9081,0.17812
50000,9147,0.176938
50000,9213,0.17967
50000,9279,0.177642
50000,9345,0.177166
50000,9411,0.177815
50000,9477,0.178892
50000,9543,0.178435
50000,9609,0.176399
50000,9675,0.177455
50000,9741,0.179494
50000,9807,0.178922
50000,9873,0.177772
50000,9939,0.178452
100000,1,0.047948
100000,6,0.0287227
100000,11,0.0279763
100000,16,0.0236933
100000,21,0.0227023
100000,26,0.0202427
100000,31,0.0194957
100000,36,0.0206107
100000,41,0.0198193
100000,46,0.0202177
